,XI-DFC,XI-IPC,XI-S1C,XI-VFC,XI-STC,XI-ITC,XI-OFC,XI-V1C,XI-MFC,X-DFC,X-IPC,X-S1C,X-VFC,X-STC,X-ITC,X-OFC,X-V1C,X-MFC,IX-DFC,IX-IPC,IX-S1C,IX-VFC,IX-STC,IX-ITC,IX-OFC,IX-V1C,IX-MFC,VIII-DFC,VIII-IPC,VIII-S1C,VIII-VFC,VIII-STC,VIII-ITC,VIII-OFC,VIII-V1C,VIII-MFC,VII-DFC,VII-IPC,VII-S1C,VII-VFC,VII-STC,VII-ITC,VII-OFC,VII-V1C,VII-MFC,VI-DFC,VI-IPC,VI-S1C,VI-VFC,VI-STC,VI-ITC,VI-OFC,VI-V1C,VI-MFC,IV-DFC,IV-IPC,IV-S1C,IV-VFC,IV-STC,IV-ITC,IV-OFC,IV-V1C,IV-MFC,IIIB-DFC,IIIB-IPC,IIIB-S1C,IIIB-VFC,IIIB-STC,IIIB-ITC,IIIB-OFC,IIIB-V1C,IIIB-MFC,IIIA-DFC,IIIA-IPC,IIIA-S1C,IIIA-VFC,IIIA-STC,IIIA-ITC,IIIA-OFC,IIIA-V1C,IIIA-MFC,IIB-DFC,IIB-IPC,IIB-S1C,IIB-VFC,IIB-STC,IIB-ITC,IIB-OFC,IIB-V1C,IIB-MFC
69,,,,,,,,,,,,,,,,,,,,,,,,,3.7362361486814346,,,,,,,2.114148625357565,,,,,,,,,,,,,,,,,,,,2.7780938029986153,2.0899220540277983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0050980096147017,,,,,2.2737135984699437,,,,,,,,,,3.2724400767398287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.685076112318151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0155317315965595,,,,,,,,,,,2.5702200113441784,,,,,,,,2.5494215067048343,,4.639079142427584,,,,,,,,,,,,,,,,,,3.46524992786858,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3904970926176565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2663119007381423,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4773224543920516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0454968968778093,,,,,,
77,,,,,,,,,,,,,,,,,2.020494645839797,,2.247509462788558,,3.3592568370509475,,,,,,,,2.4328231932032773,,,,,2.022517587399325,,,,2.2973962184182297,,,,,,,,,,3.4249735170472038,,,5.336472317192935,,,,,,,,,,,,,,,2.2067583927779717,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,5.257444967498589,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5191250936757643,,,,,,,,,,,,,,,,,,3.370481980971742,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,4.181387417392669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.077502168960625,,,,,,,,3.5915511479122597,3.5768263400163263,,,,,,,,,3.9513057173931863,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1517665790007765,,,,,,,,,,,,,,,,2.0851520478005607,,,,,2.4555613837418955,,2.7669259371748502,3.3263214673111747,,,,,,4.459798988951856,2.800421168865811,2.9742948795364588,7.003155434889071,,,,,,,2.765959453859249,,2.014711266578885
82,,,,,,,,,,,,,,,,,,,,2.1564195143081704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.787196927251731,,,,,,,,,,,2.277272922899691,,,,,,,,,,,,,,,,3.823124040759751,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,2.27790790882814,,,,,,,,,,,,,,,,3.863417670723018,,,2.323511891560575,,,,,2.8915933690491222,,2.5490000621892035,,,,,,,,,,,,,,,2.900823051697881,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,2.0340846844855447,,2.0291199931749797,,,,,,2.212290050742537,,,,,,,,,,,,,,,,,,,3.3503051989707173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.874017650620025,2.2065892875867017,,,,,,,,,,2.8585641032588534,,,2.9592778609959884,,,,,,,,,,,,,,3.5920697623022746,,,,,,,,,,,,,,,,,,,,,2.423121454098781,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,4.120684941615498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7063216925864824,,,,,,,,,,,,,,3.0622352687255097,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,2.0749909704536744,,2.1502238301114884,,,,,,,,,,,,,,,,,,,,,,,4.8665536892582955,,,2.7101717538769705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,2.2390726581367018,2.7437667300945705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9764140883913814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
